name,team,position,injury_status,injured,total_gp,total_gs,total_min,total_mpg,total_fpts,total_favg,l30_gp,l30_gs,l30_min,l30_mpg,l30_fpts,l30_favg,l15_gp,l15_gs,l15_min,l15_mpg,l15_fpts,l15_favg,l7_gp,l7_gs,l7_min,l7_mpg,l7_fpts,l7_favg,total_gp_ratio,l30_gp_ratio,l15_gp_ratio,l7_gp_ratio,total_gs_ratio,l30_gs_ratio,l15_gs_ratio,l7_gs_ratio,total_min_ratio,l30_min_ratio,l15_min_ratio,l7_min_ratio,total_mpg_ratio,l30_mpg_ratio,l15_mpg_ratio,l7_mpg_ratio,total_fpts_ratio,l30_fpts_ratio,l15_fpts_ratio,l7_fpts_ratio,total_favg_ratio,l30_favg_ratio,l15_favg_ratio,l7_favg_ratio
Andre Iguodala,GSW,SF,OUT,True,25,0,511,20,481,19,9,0,189,21,163,18,7,0,141,20,109,15,3,0,62,20,44,14,0.58,0.56,0.88,0.6,0.0,0.0,0.0,0.0,0.55,0.55,0.76,0.59,0.56,0.58,0.49,0.74,0.68,0.54,0.62,0.45,0.7,0.56,0.27,0.4
Lance Stephenson,IND,SF,ACTIVE,False,16,0,261,16,271,16,16,0,261,16,271,16,7,0,129,18,138,19,4,0,48,12,25,6,0.37,1.0,0.88,0.8,0.0,0.0,0.0,0.0,0.28,0.76,0.69,0.46,0.44,0.44,0.44,0.44,0.38,0.89,0.78,0.26,0.59,0.5,0.34,0.17
DeAndre Jordan,LAL,C,ACTIVE,False,29,18,379,13,545,18,3,0,27,9,43,14,2,0,20,10,26,13,1,0,12,12,16,16,0.67,0.19,0.25,0.2,0.56,0.0,0.0,0.0,0.41,0.08,0.11,0.11,0.36,0.25,0.24,0.44,0.77,0.14,0.15,0.16,0.67,0.44,0.23,0.46
DeMarcus Cousins,MIL,C,ACTIVE,False,17,5,286,16,438,25,8,3,157,19,262,32,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.0,0.0,0.16,0.27,0.0,0.0,0.31,0.46,0.0,0.0,0.44,0.53,0.0,0.0,0.62,0.86,0.0,0.0,0.93,1.0,0.0,0.0
Jeremy Lamb,IND,SG,ACTIVE,False,31,0,461,14,493,15,6,0,111,18,103,17,5,0,88,17,62,12,2,0,44,22,33,16,0.72,0.38,0.62,0.4,0.0,0.0,0.0,0.0,0.5,0.32,0.47,0.42,0.39,0.5,0.41,0.81,0.7,0.34,0.35,0.34,0.56,0.53,0.21,0.46
Isaiah Thomas,DAL,PG,ACTIVE,False,5,1,114,22,81,16,2,0,34,17,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.61,0.47,0.0,0.0,0.11,0.08,0.0,0.0,0.59,0.38,0.0,0.0
Willy Hernangomez,NOP,C,ACTIVE,False,22,3,343,15,611,27,5,3,86,17,121,24,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.31,0.0,0.0,0.09,0.27,0.0,0.0,0.37,0.25,0.0,0.0,0.42,0.47,0.0,0.0,0.86,0.4,0.0,0.0,1.0,0.75,0.0,0.0
Tacko Fall,CLE,C,ACTIVE,False,10,1,58,5,72,7,3,1,34,11,54,18,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.19,0.0,0.0,0.03,0.09,0.0,0.0,0.06,0.1,0.0,0.0,0.14,0.31,0.0,0.0,0.1,0.18,0.0,0.0,0.26,0.56,0.0,0.0
Torrey Craig,IND,SF,ACTIVE,False,41,4,734,17,707,17,12,3,306,25,294,24,6,3,163,27,146,24,4,3,105,26,98,24,0.95,0.75,0.75,0.8,0.12,0.27,0.5,1.0,0.79,0.89,0.88,1.0,0.47,0.69,0.66,0.96,1.0,0.97,0.82,1.0,0.63,0.75,0.43,0.69
Marc Gasol,LAL,C,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Kaminsky,PHO,C,OUT,True,9,0,182,20,244,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0
